Settings === Total time = 240, Number of Nodes = 6, Speed = 10
Time	Node	Pos_X	Pos_Y
1	1	0	1000
1	2	500	1000
1	3	1000	1000
1	4	1500	1000
1	5	2000	1000
1	6	2500	1000
2	1	10	1000
2	2	520	1000
2	3	1030	1000
2	4	1505	1000
2	5	2015	1000
2	6	2525	1000
3	1	20	1000
3	2	540	1000
3	3	1060	1000
3	4	1510	1000
3	5	2030	1000
3	6	2550	1000
4	1	30	1000
4	2	560	1000
4	3	1090	1000
4	4	1515	1000
4	5	2045	1000
4	6	2575	1000
5	1	40	1000
5	2	580	1000
5	3	1120	1000
5	4	1520	1000
5	5	2060	1000
5	6	2600	1000
6	1	50	1000
6	2	600	1000
6	3	1150	1000
6	4	1525	1000
6	5	2075	1000
6	6	2625	1000
7	1	60	1000
7	2	620	1000
7	3	1180	1000
7	4	1530	1000
7	5	2090	1000
7	6	2650	1000
8	1	70	1000
8	2	640	1000
8	3	1210	1000
8	4	1535	1000
8	5	2105	1000
8	6	2675	1000
9	1	80	1000
9	2	660	1000
9	3	1240	1000
9	4	1540	1000
9	5	2120	1000
9	6	2700	1000
10	1	90	1000
10	2	680	1000
10	3	1270	1000
10	4	1545	1000
10	5	2135	1000
10	6	2725	1000
11	1	100	1000
11	2	700	1000
11	3	1300	1000
11	4	1550	1000
11	5	2150	1000
11	6	2750	1000
12	1	110	1000
12	2	720	1000
12	3	1330	1000
12	4	1555	1000
12	5	2165	1000
12	6	2775	1000
13	1	120	1000
13	2	740	1000
13	3	1360	1000
13	4	1560	1000
13	5	2180	1000
13	6	2800	1000
14	1	130	1000
14	2	760	1000
14	3	1390	1000
14	4	1565	1000
14	5	2195	1000
14	6	2825	1000
15	1	140	1000
15	2	780	1000
15	3	1420	1000
15	4	1570	1000
15	5	2210	1000
15	6	2850	1000
16	1	150	1000
16	2	800	1000
16	3	1450	1000
16	4	1575	1000
16	5	2225	1000
16	6	2875	1000
17	1	160	1000
17	2	820	1000
17	3	1480	1000
17	4	1580	1000
17	5	2240	1000
17	6	2900	1000
18	1	170	1000
18	2	840	1000
18	3	1490	1000
18	4	1585	1000
18	5	2255	1000
18	6	2925	1000
19	1	180	1000
19	2	860	1000
19	3	1460	1000
19	4	1590	1000
19	5	2270	1000
19	6	2950	1000
20	1	190	1000
20	2	880	1000
20	3	1430	1000
20	4	1595	1000
20	5	2285	1000
20	6	2975	1000
21	1	200	1000
21	2	900	1000
21	3	1400	1000
21	4	1600	1000
21	5	2300	1000
21	6	3000	1000
22	1	210	1000
22	2	920	1000
22	3	1370	1000
22	4	1605	1000
22	5	2315	1000
22	6	2975	1000
23	1	220	1000
23	2	940	1000
23	3	1340	1000
23	4	1610	1000
23	5	2330	1000
23	6	2950	1000
24	1	230	1000
24	2	960	1000
24	3	1310	1000
24	4	1615	1000
24	5	2345	1000
24	6	2925	1000
25	1	240	1000
25	2	980	1000
25	3	1280	1000
25	4	1620	1000
25	5	2360	1000
25	6	2900	1000
26	1	250	1000
26	2	1000	1000
26	3	1250	1000
26	4	1625	1000
26	5	2375	1000
26	6	2875	1000
27	1	260	1000
27	2	980	1000
27	3	1220	1000
27	4	1630	1000
27	5	2390	1000
27	6	2850	1000
28	1	270	1000
28	2	960	1000
28	3	1190	1000
28	4	1635	1000
28	5	2405	1000
28	6	2825	1000
29	1	280	1000
29	2	940	1000
29	3	1160	1000
29	4	1640	1000
29	5	2420	1000
29	6	2800	1000
30	1	290	1000
30	2	920	1000
30	3	1130	1000
30	4	1645	1000
30	5	2435	1000
30	6	2775	1000
31	1	300	1000
31	2	900	1000
31	3	1100	1000
31	4	1650	1000
31	5	2450	1000
31	6	2750	1000
32	1	310	1000
32	2	880	1000
32	3	1070	1000
32	4	1655	1000
32	5	2465	1000
32	6	2725	1000
33	1	320	1000
33	2	860	1000
33	3	1040	1000
33	4	1660	1000
33	5	2480	1000
33	6	2700	1000
34	1	330	1000
34	2	840	1000
34	3	1010	1000
34	4	1665	1000
34	5	2495	1000
34	6	2675	1000
35	1	340	1000
35	2	820	1000
35	3	1020	1000
35	4	1670	1000
35	5	2490	1000
35	6	2650	1000
36	1	350	1000
36	2	800	1000
36	3	1050	1000
36	4	1675	1000
36	5	2475	1000
36	6	2625	1000
37	1	360	1000
37	2	780	1000
37	3	1080	1000
37	4	1680	1000
37	5	2460	1000
37	6	2600	1000
38	1	370	1000
38	2	760	1000
38	3	1110	1000
38	4	1685	1000
38	5	2445	1000
38	6	2575	1000
39	1	380	1000
39	2	740	1000
39	3	1140	1000
39	4	1690	1000
39	5	2430	1000
39	6	2550	1000
40	1	390	1000
40	2	720	1000
40	3	1170	1000
40	4	1695	1000
40	5	2415	1000
40	6	2525	1000
41	1	400	1000
41	2	700	1000
41	3	1200	1000
41	4	1700	1000
41	5	2400	1000
41	6	2500	1000
42	1	410	1000
42	2	680	1000
42	3	1230	1000
42	4	1705	1000
42	5	2385	1000
42	6	2525	1000
43	1	420	1000
43	2	660	1000
43	3	1260	1000
43	4	1710	1000
43	5	2370	1000
43	6	2550	1000
44	1	430	1000
44	2	640	1000
44	3	1290	1000
44	4	1715	1000
44	5	2355	1000
44	6	2575	1000
45	1	440	1000
45	2	620	1000
45	3	1320	1000
45	4	1720	1000
45	5	2340	1000
45	6	2600	1000
46	1	450	1000
46	2	600	1000
46	3	1350	1000
46	4	1725	1000
46	5	2325	1000
46	6	2625	1000
47	1	460	1000
47	2	580	1000
47	3	1380	1000
47	4	1730	1000
47	5	2310	1000
47	6	2650	1000
48	1	470	1000
48	2	560	1000
48	3	1410	1000
48	4	1735	1000
48	5	2295	1000
48	6	2675	1000
49	1	480	1000
49	2	540	1000
49	3	1440	1000
49	4	1740	1000
49	5	2280	1000
49	6	2700	1000
50	1	490	1000
50	2	520	1000
50	3	1470	1000
50	4	1745	1000
50	5	2265	1000
50	6	2725	1000
51	1	500	1000
51	2	500	1000
51	3	1500	1000
51	4	1750	1000
51	5	2250	1000
51	6	2750	1000
52	1	490	1000
52	2	520	1000
52	3	1470	1000
52	4	1755	1000
52	5	2235	1000
52	6	2775	1000
53	1	480	1000
53	2	540	1000
53	3	1440	1000
53	4	1760	1000
53	5	2220	1000
53	6	2800	1000
54	1	470	1000
54	2	560	1000
54	3	1410	1000
54	4	1765	1000
54	5	2205	1000
54	6	2825	1000
55	1	460	1000
55	2	580	1000
55	3	1380	1000
55	4	1770	1000
55	5	2190	1000
55	6	2850	1000
56	1	450	1000
56	2	600	1000
56	3	1350	1000
56	4	1775	1000
56	5	2175	1000
56	6	2875	1000
57	1	440	1000
57	2	620	1000
57	3	1320	1000
57	4	1780	1000
57	5	2160	1000
57	6	2900	1000
58	1	430	1000
58	2	640	1000
58	3	1290	1000
58	4	1785	1000
58	5	2145	1000
58	6	2925	1000
59	1	420	1000
59	2	660	1000
59	3	1260	1000
59	4	1790	1000
59	5	2130	1000
59	6	2950	1000
60	1	410	1000
60	2	680	1000
60	3	1230	1000
60	4	1795	1000
60	5	2115	1000
60	6	2975	1000
61	1	400	1000
61	2	700	1000
61	3	1200	1000
61	4	1800	1000
61	5	2100	1000
61	6	3000	1000
62	1	390	1000
62	2	720	1000
62	3	1170	1000
62	4	1805	1000
62	5	2085	1000
62	6	2975	1000
63	1	380	1000
63	2	740	1000
63	3	1140	1000
63	4	1810	1000
63	5	2070	1000
63	6	2950	1000
64	1	370	1000
64	2	760	1000
64	3	1110	1000
64	4	1815	1000
64	5	2055	1000
64	6	2925	1000
65	1	360	1000
65	2	780	1000
65	3	1080	1000
65	4	1820	1000
65	5	2040	1000
65	6	2900	1000
66	1	350	1000
66	2	800	1000
66	3	1050	1000
66	4	1825	1000
66	5	2025	1000
66	6	2875	1000
67	1	340	1000
67	2	820	1000
67	3	1020	1000
67	4	1830	1000
67	5	2010	1000
67	6	2850	1000
68	1	330	1000
68	2	840	1000
68	3	1010	1000
68	4	1835	1000
68	5	2005	1000
68	6	2825	1000
69	1	320	1000
69	2	860	1000
69	3	1040	1000
69	4	1840	1000
69	5	2020	1000
69	6	2800	1000
70	1	310	1000
70	2	880	1000
70	3	1070	1000
70	4	1845	1000
70	5	2035	1000
70	6	2775	1000
71	1	300	1000
71	2	900	1000
71	3	1100	1000
71	4	1850	1000
71	5	2050	1000
71	6	2750	1000
72	1	290	1000
72	2	920	1000
72	3	1130	1000
72	4	1855	1000
72	5	2065	1000
72	6	2725	1000
73	1	280	1000
73	2	940	1000
73	3	1160	1000
73	4	1860	1000
73	5	2080	1000
73	6	2700	1000
74	1	270	1000
74	2	960	1000
74	3	1190	1000
74	4	1865	1000
74	5	2095	1000
74	6	2675	1000
75	1	260	1000
75	2	980	1000
75	3	1220	1000
75	4	1870	1000
75	5	2110	1000
75	6	2650	1000
76	1	250	1000
76	2	1000	1000
76	3	1250	1000
76	4	1875	1000
76	5	2125	1000
76	6	2625	1000
77	1	240	1000
77	2	980	1000
77	3	1280	1000
77	4	1880	1000
77	5	2140	1000
77	6	2600	1000
78	1	230	1000
78	2	960	1000
78	3	1310	1000
78	4	1885	1000
78	5	2155	1000
78	6	2575	1000
79	1	220	1000
79	2	940	1000
79	3	1340	1000
79	4	1890	1000
79	5	2170	1000
79	6	2550	1000
80	1	210	1000
80	2	920	1000
80	3	1370	1000
80	4	1895	1000
80	5	2185	1000
80	6	2525	1000
81	1	200	1000
81	2	900	1000
81	3	1400	1000
81	4	1900	1000
81	5	2200	1000
81	6	2500	1000
82	1	190	1000
82	2	880	1000
82	3	1430	1000
82	4	1905	1000
82	5	2215	1000
82	6	2525	1000
83	1	180	1000
83	2	860	1000
83	3	1460	1000
83	4	1910	1000
83	5	2230	1000
83	6	2550	1000
84	1	170	1000
84	2	840	1000
84	3	1490	1000
84	4	1915	1000
84	5	2245	1000
84	6	2575	1000
85	1	160	1000
85	2	820	1000
85	3	1480	1000
85	4	1920	1000
85	5	2260	1000
85	6	2600	1000
86	1	150	1000
86	2	800	1000
86	3	1450	1000
86	4	1925	1000
86	5	2275	1000
86	6	2625	1000
87	1	140	1000
87	2	780	1000
87	3	1420	1000
87	4	1930	1000
87	5	2290	1000
87	6	2650	1000
88	1	130	1000
88	2	760	1000
88	3	1390	1000
88	4	1935	1000
88	5	2305	1000
88	6	2675	1000
89	1	120	1000
89	2	740	1000
89	3	1360	1000
89	4	1940	1000
89	5	2320	1000
89	6	2700	1000
90	1	110	1000
90	2	720	1000
90	3	1330	1000
90	4	1945	1000
90	5	2335	1000
90	6	2725	1000
91	1	100	1000
91	2	700	1000
91	3	1300	1000
91	4	1950	1000
91	5	2350	1000
91	6	2750	1000
92	1	90	1000
92	2	680	1000
92	3	1270	1000
92	4	1955	1000
92	5	2365	1000
92	6	2775	1000
93	1	80	1000
93	2	660	1000
93	3	1240	1000
93	4	1960	1000
93	5	2380	1000
93	6	2800	1000
94	1	70	1000
94	2	640	1000
94	3	1210	1000
94	4	1965	1000
94	5	2395	1000
94	6	2825	1000
95	1	60	1000
95	2	620	1000
95	3	1180	1000
95	4	1970	1000
95	5	2410	1000
95	6	2850	1000
96	1	50	1000
96	2	600	1000
96	3	1150	1000
96	4	1975	1000
96	5	2425	1000
96	6	2875	1000
97	1	40	1000
97	2	580	1000
97	3	1120	1000
97	4	1980	1000
97	5	2440	1000
97	6	2900	1000
98	1	30	1000
98	2	560	1000
98	3	1090	1000
98	4	1985	1000
98	5	2455	1000
98	6	2925	1000
99	1	20	1000
99	2	540	1000
99	3	1060	1000
99	4	1990	1000
99	5	2470	1000
99	6	2950	1000
100	1	10	1000
100	2	520	1000
100	3	1030	1000
100	4	1995	1000
100	5	2485	1000
100	6	2975	1000
101	1	0	1000
101	2	500	1000
101	3	1000	1000
101	4	2000	1000
101	5	2500	1000
101	6	3000	1000
102	1	10	1000
102	2	520	1000
102	3	1030	1000
102	4	1995	1000
102	5	2485	1000
102	6	2975	1000
103	1	20	1000
103	2	540	1000
103	3	1060	1000
103	4	1990	1000
103	5	2470	1000
103	6	2950	1000
104	1	30	1000
104	2	560	1000
104	3	1090	1000
104	4	1985	1000
104	5	2455	1000
104	6	2925	1000
105	1	40	1000
105	2	580	1000
105	3	1120	1000
105	4	1980	1000
105	5	2440	1000
105	6	2900	1000
106	1	50	1000
106	2	600	1000
106	3	1150	1000
106	4	1975	1000
106	5	2425	1000
106	6	2875	1000
107	1	60	1000
107	2	620	1000
107	3	1180	1000
107	4	1970	1000
107	5	2410	1000
107	6	2850	1000
108	1	70	1000
108	2	640	1000
108	3	1210	1000
108	4	1965	1000
108	5	2395	1000
108	6	2825	1000
109	1	80	1000
109	2	660	1000
109	3	1240	1000
109	4	1960	1000
109	5	2380	1000
109	6	2800	1000
110	1	90	1000
110	2	680	1000
110	3	1270	1000
110	4	1955	1000
110	5	2365	1000
110	6	2775	1000
111	1	100	1000
111	2	700	1000
111	3	1300	1000
111	4	1950	1000
111	5	2350	1000
111	6	2750	1000
112	1	110	1000
112	2	720	1000
112	3	1330	1000
112	4	1945	1000
112	5	2335	1000
112	6	2725	1000
113	1	120	1000
113	2	740	1000
113	3	1360	1000
113	4	1940	1000
113	5	2320	1000
113	6	2700	1000
114	1	130	1000
114	2	760	1000
114	3	1390	1000
114	4	1935	1000
114	5	2305	1000
114	6	2675	1000
115	1	140	1000
115	2	780	1000
115	3	1420	1000
115	4	1930	1000
115	5	2290	1000
115	6	2650	1000
116	1	150	1000
116	2	800	1000
116	3	1450	1000
116	4	1925	1000
116	5	2275	1000
116	6	2625	1000
117	1	160	1000
117	2	820	1000
117	3	1480	1000
117	4	1920	1000
117	5	2260	1000
117	6	2600	1000
118	1	170	1000
118	2	840	1000
118	3	1490	1000
118	4	1915	1000
118	5	2245	1000
118	6	2575	1000
119	1	180	1000
119	2	860	1000
119	3	1460	1000
119	4	1910	1000
119	5	2230	1000
119	6	2550	1000
120	1	190	1000
120	2	880	1000
120	3	1430	1000
120	4	1905	1000
120	5	2215	1000
120	6	2525	1000
121	1	200	1000
121	2	900	1000
121	3	1400	1000
121	4	1900	1000
121	5	2200	1000
121	6	2500	1000
122	1	210	1000
122	2	920	1000
122	3	1370	1000
122	4	1895	1000
122	5	2185	1000
122	6	2525	1000
123	1	220	1000
123	2	940	1000
123	3	1340	1000
123	4	1890	1000
123	5	2170	1000
123	6	2550	1000
124	1	230	1000
124	2	960	1000
124	3	1310	1000
124	4	1885	1000
124	5	2155	1000
124	6	2575	1000
125	1	240	1000
125	2	980	1000
125	3	1280	1000
125	4	1880	1000
125	5	2140	1000
125	6	2600	1000
126	1	250	1000
126	2	1000	1000
126	3	1250	1000
126	4	1875	1000
126	5	2125	1000
126	6	2625	1000
127	1	260	1000
127	2	980	1000
127	3	1220	1000
127	4	1870	1000
127	5	2110	1000
127	6	2650	1000
128	1	270	1000
128	2	960	1000
128	3	1190	1000
128	4	1865	1000
128	5	2095	1000
128	6	2675	1000
129	1	280	1000
129	2	940	1000
129	3	1160	1000
129	4	1860	1000
129	5	2080	1000
129	6	2700	1000
130	1	290	1000
130	2	920	1000
130	3	1130	1000
130	4	1855	1000
130	5	2065	1000
130	6	2725	1000
131	1	300	1000
131	2	900	1000
131	3	1100	1000
131	4	1850	1000
131	5	2050	1000
131	6	2750	1000
132	1	310	1000
132	2	880	1000
132	3	1070	1000
132	4	1845	1000
132	5	2035	1000
132	6	2775	1000
133	1	320	1000
133	2	860	1000
133	3	1040	1000
133	4	1840	1000
133	5	2020	1000
133	6	2800	1000
134	1	330	1000
134	2	840	1000
134	3	1010	1000
134	4	1835	1000
134	5	2005	1000
134	6	2825	1000
135	1	340	1000
135	2	820	1000
135	3	1020	1000
135	4	1830	1000
135	5	2010	1000
135	6	2850	1000
136	1	350	1000
136	2	800	1000
136	3	1050	1000
136	4	1825	1000
136	5	2025	1000
136	6	2875	1000
137	1	360	1000
137	2	780	1000
137	3	1080	1000
137	4	1820	1000
137	5	2040	1000
137	6	2900	1000
138	1	370	1000
138	2	760	1000
138	3	1110	1000
138	4	1815	1000
138	5	2055	1000
138	6	2925	1000
139	1	380	1000
139	2	740	1000
139	3	1140	1000
139	4	1810	1000
139	5	2070	1000
139	6	2950	1000
140	1	390	1000
140	2	720	1000
140	3	1170	1000
140	4	1805	1000
140	5	2085	1000
140	6	2975	1000
141	1	400	1000
141	2	700	1000
141	3	1200	1000
141	4	1800	1000
141	5	2100	1000
141	6	3000	1000
142	1	410	1000
142	2	680	1000
142	3	1230	1000
142	4	1795	1000
142	5	2115	1000
142	6	2975	1000
143	1	420	1000
143	2	660	1000
143	3	1260	1000
143	4	1790	1000
143	5	2130	1000
